@_fa,prism:url,dc:identifier,dc:title,prism:publicationName,prism:coverDate,prism:doi,dc:description,authkeywords,subject-area,author,year
true,https://api.elsevier.com/content/abstract/scopus_id/105008792567,SCOPUS_ID:105008792567,Integrated dynamic scheduling method for hybrid flow shop with machine preventive maintenance based on cooperative multi-agent deep reinforcement learning,Robotics and Computer Integrated Manufacturing,2026-02-01,10.1016/j.rcim.2025.103085,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105009102152,SCOPUS_ID:105009102152,Leveraging pre-trained models for kernel machines,Pattern Recognition,2026-02-01,10.1016/j.patcog.2025.111961,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105009295596,SCOPUS_ID:105009295596,Domain-invariant representation learning via SAM for blood cell classification,Pattern Recognition,2026-02-01,10.1016/j.patcog.2025.112000,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105009135630,SCOPUS_ID:105009135630,Learning embedded label-specific features for partial multi-label learning,Pattern Recognition,2026-02-01,10.1016/j.patcog.2025.112005,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105007620255,SCOPUS_ID:105007620255,Empowering natural human–robot collaboration through multimodal language models and spatial intelligence: Pathways and perspectives,Robotics and Computer Integrated Manufacturing,2026-02-01,10.1016/j.rcim.2025.103064,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105008792488,SCOPUS_ID:105008792488,Supervised incremental feature selection using regularization vector for dynamic multi-scale interval valued datasets,Pattern Recognition,2026-02-01,10.1016/j.patcog.2025.111985,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105008154378,SCOPUS_ID:105008154378,A green and efficient disassembly line balancing with human-robot collaboration and destructive disassembly,Robotics and Computer Integrated Manufacturing,2026-02-01,10.1016/j.rcim.2025.103081,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105007699733,SCOPUS_ID:105007699733,Multi-omic and quantum machine learning integration for lung subtypes classification,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107905,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105008497772,SCOPUS_ID:105008497772,TDML — A Trustworthy Distributed Machine Learning Framework,Future Generation Computer Systems,2026-01-01,10.1016/j.future.2025.107951,,,[],[],2026
true,https://api.elsevier.com/content/abstract/scopus_id/105007525251,SCOPUS_ID:105007525251,Evaluating a continuous feedback strategy to enhance machine learning code smell detection,Science of Computer Programming,2026-01-01,10.1016/j.scico.2025.103346,,,[],[],2026
